,strasse,size,start_datum,end_datum,merge_index,start,ende,strasse_geodaten,lat,lon,_merge
0,Allmannsdorfer Straße,13.0,2023-01-01 00:00:00,2023-02-06 12:00:00,0,2022-12-14,2023-02-06,Allmannsdorfer Straße,47.67369194517152,9.18668449750901,both
1,Alter Bannweg,2.0,2023-12-20 10:30:00,2023-12-31 23:30:00,1,2023-10-23,2024-01-08,Alter Bannweg,47.68005072612146,9.1720723861171,both
2,Am Briel,3.0,2023-03-13 10:30:00,2023-05-15 13:30:00,2,2023-03-13,2023-05-15,Am Briel,47.67599187587985,9.176721072486709,both
3,Am Pfeiferhoelzle,8.0,2023-09-26 00:00:00,2023-11-27 09:00:00,3,2023-09-25,2023-11-27,Am Pfeiferhölzle,47.6826545732775,9.17376542155614,both
4,Am Pfeiferhölzle,7.0,2023-01-01 00:00:00,2023-02-13 10:30:00,4,2022-12-19,2023-02-13,Am Pfeiferhölzle,47.6826545732775,9.17376542155614,both
5,Bagnatosteig,2.0,2023-06-27 04:30:00,2023-07-19 09:30:00,5,,,,,,left_only
6,Benedikt-Bauer-Straße,4.0,2023-01-01 00:00:00,2023-03-20 10:30:00,6,2022-12-12,2023-01-30,Benedikt-Bauer-Straße,47.69100400190642,9.150241658279262,both
7,Benedikt-Bauer-Straße,4.0,2023-01-01 00:00:00,2023-03-20 10:30:00,6,2023-01-30,2023-03-20,Benedikt-Bauer-Straße,47.69100400190642,9.150241658279262,both
8,Bismarcksteig,3.0,2023-05-16 00:00:00,2023-06-26 08:00:00,7,,,,,,left_only
9,Bodanstraße,15.0,2023-01-17 00:00:00,2023-05-15 09:00:00,8,2023-01-16,2023-03-13,Bodanstraße,47.65823229212101,9.173037902581092,both
10,Bodanstraße,15.0,2023-01-17 00:00:00,2023-05-15 09:00:00,8,2023-03-13,2023-05-15,Bodanstraße,47.65823229212101,9.173037902581092,both
11,Breslauer Straße,4.0,2023-01-01 00:00:00,2023-12-31 22:00:00,9,2022-11-28,2023-01-23,Breslauer Straße,47.6851804928014,9.150923560907144,both
12,Breslauer Straße,4.0,2023-01-01 00:00:00,2023-12-31 22:00:00,9,2023-11-07,2024-01-18,Breslauer Straße,47.6851804928014,9.150923560907144,both
13,Bruder-Klaus-Staße,7.0,2023-11-28 00:00:00,2023-12-10 08:30:00,10,2023-11-27,2024-01-30,Bruder-Klaus-Straße,47.6732309336368,9.17328596392177,both
14,Buhlenweg,11.0,2023-01-01 00:00:00,2023-01-30 11:30:00,11,2022-12-13,2023-01-30,Buhlenweg,47.6842468043315,9.15934790726834,both
15,Bücklestraße,8.0,2023-01-01 00:00:00,2023-02-06 09:30:00,12,2022-12-14,2023-02-06,Bücklestraße,47.6779829815458,9.16618275542846,both
16,Eichhornstraße,8.0,2023-01-01 00:00:00,2023-12-31 23:30:00,13,2023-10-23,2024-01-12,Eichhornstraße,47.66825923578631,9.194803472921292,both
17,Fritz-Arnold-Straße,3.0,2023-09-12 00:00:00,2023-11-27 07:30:00,14,2023-09-11,2023-11-27,Fritz-Arnold-Straße,47.674222672251226,9.147346855584244,both
18,Fürstenbergstraße,20.0,2023-05-15 11:30:00,2023-09-05 09:30:00,15,2023-05-15,2023-07-17,Fürstenbergstraße,47.68508936107714,9.154578722378144,both
19,Fürstenbergstraße,20.0,2023-05-15 11:30:00,2023-09-05 09:30:00,15,2023-07-17,2023-09-05,Fürstenbergstraße,47.68508936107714,9.154578722378144,both
20,Gottlieberstraße,5.0,2023-01-01 00:00:00,2023-08-28 08:00:00,16,2023-07-03,2023-08-28,Gottlieber Straße,47.66206723587671,9.168415797991893,both
21,Hermann-von-Vicari-Straße,11.0,2023-01-01 00:00:00,2023-10-23 13:30:00,17,2023-08-28,2023-10-23,Hermann-von-Vicari-Straße,47.67395234386456,9.199621670434988,both
22,Hoheneggstraße,2.0,2023-03-20 01:30:00,2023-06-26 09:30:00,18,2023-03-20,2023-05-15,Hoheneggstraße,47.6825371,9.2076063,both
23,Hoheneggstraße,2.0,2023-03-20 01:30:00,2023-06-26 09:30:00,18,2023-05-15,2023-06-26,Hoheneggstraße,47.6825371,9.2076063,both
24,Jakobstraße,6.0,2023-02-03 10:00:00,2023-05-30 10:00:00,19,2023-01-30,2023-04-03,Jakobstraße,47.677671468063146,9.20493999256364,both
25,Jakobstraße,6.0,2023-02-03 10:00:00,2023-05-30 10:00:00,19,2023-04-03,2023-05-30,Jakobstraße,47.6718363,9.2088266,both
26,Jakobstraße,6.0,2023-02-03 10:00:00,2023-05-30 10:00:00,19,2023-04-03,2023-05-30,Jakobstraße,47.677671468063146,9.20493999256364,both
27,Kamorstraße,7.0,2023-01-01 00:00:00,2023-09-11 10:00:00,20,2023-08-22,2023-09-11,Kamorstraße,47.66851826338766,9.18776093500335,both
28,Kindlebildstraße,11.0,2023-01-01 00:00:00,2023-01-30 12:00:00,21,2022-12-12,2023-01-30,Kindlebildstraße,47.68979294457844,9.134638465838226,both
29,Line Eid Straße,11.0,2023-05-30 13:00:00,2023-07-03 10:30:00,22,2023-05-30,2023-07-03,Line-Eid-Straße,47.67285210125164,9.15550088687688,both
30,Litzelstetter Straße FR Benedikt-Bauer-Str.,5.0,2023-03-27 12:00:00,2023-05-24 08:00:00,23,2023-03-27,2023-05-24,Litzelstetter Straße,47.69246111698547,9.148192750890129,both
31,Mainaustraße,11.0,2023-01-01 00:00:00,2023-11-07 12:30:00,24,,,,,,left_only
32,Mainaustraße Hoehe Schule,19.0,2023-11-07 00:00:00,2023-12-31 19:30:00,25,2023-11-07,2024-01-11,Mainaustraße,47.68150224402573,9.202231565711656,both
33,Oberdorfstraße,2.0,2023-08-14 15:30:00,2023-08-22 11:30:00,26,2023-08-15,2023-08-22,Oberdorfstraße,47.72866495960857,9.155465154023954,both
34,Obere Laube ,15.0,2023-05-15 10:00:00,2023-07-17 08:00:00,27,2023-05-15,2023-07-17,Obere Laube,47.6604350744311,9.171301772236676,both
35,Obere Laube-FR Untere-Laube,10.0,2023-07-17 12:30:00,2023-08-10 08:00:00,28,2023-07-17,2023-08-10,Obere Laube,47.65962871908613,9.171055731640438,both
36,Radolfzeller Straße,18.0,2023-04-03 12:00:00,2023-10-23 11:30:00,29,2023-04-03,2023-06-05,Radolfzeller Straße,47.69169058587258,9.14601321255812,both
37,Radolfzeller Straße,18.0,2023-04-03 12:00:00,2023-10-23 11:30:00,29,2023-09-05,2023-10-23,Radolfzeller Straße,47.693624947446025,9.143645220870615,both
38,Rheingutstraße,4.0,2023-01-01 00:00:00,2023-02-13 09:00:00,30,2022-12-19,2023-02-13,Rheingutstraße,47.667346131454096,9.165935155389215,both
39,Riedstraße,18.0,2023-01-01 00:00:00,2023-05-15 10:30:00,31,2023-03-20,2023-05-15,Riedstraße,47.68524421986284,9.147820761633312,both
40,Schwaketenstraße,10.0,2023-09-12 00:00:00,2023-12-31 23:30:00,32,2023-11-27,2024-01-11,Schwaketenstraße,47.6878358,9.1616193,both
41,Sonnenbühlstraße,11.0,2023-01-01 00:00:00,2023-11-07 09:00:00,33,2023-09-18,2023-11-07,Sonnenbühlstraße,47.679668112660536,9.187802922151851,both
42,Steinstraße,6.0,2023-01-01 00:00:00,2023-01-16 09:30:00,34,2022-11-14,2023-01-16,Steinstraße,47.67490847775374,9.176495076171904,both
43,Stifterstraße,4.0,2023-01-01 00:00:00,2023-09-05 10:00:00,35,2023-07-24,2023-09-05,Stifterstraße,47.68808192129527,9.153727691462048,both
44,Torkelbergstraße,5.0,2023-01-01 00:00:00,2023-03-13 08:00:00,36,2022-11-21,2023-01-23,Torkelbergstraße,47.7112613239986,9.17137985707782,both
45,Torkelbergstraße,5.0,2023-01-01 00:00:00,2023-03-13 08:00:00,36,2023-01-23,2023-03-13,Torkelbergstraße,47.711227892695405,9.171713814457595,both
46,Untere Laube,12.0,2023-11-07 00:00:00,2023-12-31 23:30:00,37,2023-11-07,2024-01-08,Untere Laube,47.66376824512998,9.17326063537802,both
47,Zeller Straße,3.0,2023-07-24 11:30:00,2023-09-11 09:30:00,38,2023-07-24,2023-08-15,Zellerstraße,47.738001459530686,9.110071406535988,both
48,Zeller Straße,3.0,2023-07-24 11:30:00,2023-09-11 09:30:00,38,2023-07-24,2023-08-15,Zellerstraße,47.738001459530686,9.110071406535988,both
49,Zeller Straße,3.0,2023-07-24 11:30:00,2023-09-11 09:30:00,38,2023-08-15,2023-09-11,Zellerstraße,47.738001459530686,9.110071406535988,both
50,Zeller Straße,3.0,2023-07-24 11:30:00,2023-09-11 09:30:00,38,2023-08-15,2023-09-11,Zellerstraße,47.738001459530686,9.110071406535988,both
